"Case_id","name","image_view","image_url","style","color","lightning","cm_keywords"
cm01,CosmosC700MFullTowerPCCase,FrontTop,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/COSMOC700MFULLTOWERPCCASE/COSMOC700MFULLTOWERPCCASE_FrontTop.webp,Futuristic,"Black, Silver",Yes,"Tempered glass side panel, brushed aluminum, RGB lightbar, tubular handles, curved side panel"
cm01,CosmosC700MFullTowerPCCase,FrontTopOpen,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/COSMOC700MFULLTOWERPCCASE/COSMOC700MFULLTOWERPCCASE_FrontTopOpen.webp,Futuristic,"Black, Silver",Yes,"Tempered glass side panel, brushed aluminum, RGB lightbar, tubular handles, curved side panel"
cm01,CosmosC700MFullTowerPCCase,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/COSMOC700MFULLTOWERPCCASE/COSMOC700MFULLTOWERPCCASE_Left45.webp,Futuristic,"Black, Silver",Yes,"Tempered glass side panel, brushed aluminum, RGB lightbar, tubular handles, curved side panel"
cm01,CosmosC700MFullTowerPCCase,Right90,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/COSMOC700MFULLTOWERPCCASE/COSMOC700MFULLTOWERPCCASE_Left90.webp,Futuristic,"Black, Silver",Yes,"Tempered glass side panel, brushed aluminum, RGB lightbar, tubular handles, curved side panel"
cm01,CosmosC700MFullTowerPCCase,Right90Open,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/COSMOC700MFULLTOWERPCCASE/COSMOC700MFULLTOWERPCCASE_Left90Open.webp,Futuristic,"Black, Silver",Yes,"Tempered glass side panel, brushed aluminum, RGB lightbar, tubular handles, curved side panel"
cm02,CosmosC700PBlackEdition,FrontTopOpen,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/COSMOS%20C700P%20%E9%BB%91%E5%8C%96%E7%89%88/COSMOS%20C700P%20%E9%BB%91%E5%8C%96%E7%89%88_FrontTopOpen.webp,Futuristic,Black,Yes,"Tempered glass side panel, RGB lightbar, tubular handles, curved side panel, cm logo"
cm02,CosmosC700PBlackEdition,Left90,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/COSMOS%20C700P%20%E9%BB%91%E5%8C%96%E7%89%88/COSMOS%20C700P%20%E9%BB%91%E5%8C%96%E7%89%88_Left.webp,Futuristic,Black,Yes,"Tempered glass side panel, RGB lightbar, tubular handles, curved side panel, cm logo"
cm02,CosmosC700PBlackEdition,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/COSMOS%20C700P%20%E9%BB%91%E5%8C%96%E7%89%88/COSMOS%20C700P%20%E9%BB%91%E5%8C%96%E7%89%88_Left45.webp,Futuristic,Black,Yes,"Tempered glass side panel, RGB lightbar, tubular handles, curved side panel, cm logo"
cm02,CosmosC700PBlackEdition,Left45Open,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/COSMOS%20C700P%20%E9%BB%91%E5%8C%96%E7%89%88/COSMOS%20C700P%20%E9%BB%91%E5%8C%96%E7%89%88_Left45Open.webp,Futuristic,Black,Yes,"Tempered glass side panel, RGB lightbar, tubular handles, curved side panel, cm logo"
cm02,CosmosC700PBlackEdition,Right90,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/COSMOS%20C700P%20%E9%BB%91%E5%8C%96%E7%89%88/COSMOS%20C700P%20%E9%BB%91%E5%8C%96%E7%89%88_Right.webp,Futuristic,Black,Yes,"Tempered glass side panel, RGB lightbar, tubular handles, curved side panel, cm logo"
cm03,Elite301White,Front,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301/Elite301White_Front.webp,Minimalist,White,Yes,"vertical striped mesh, front mesh panel, RGB fans, Tempered glass side panel, cm title"
cm03,Elite301White,FrontTop,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301/Elite301White_FrontTop.webp,Minimalist,White,Yes,"vertical striped mesh, front mesh panel, RGB fans, Tempered glass side panel, cm title"
cm03,Elite301White,Left45,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301/Elite301White_Left45.webp,Minimalist,White,Yes,"vertical striped mesh, front mesh panel, RGB fans, Tempered glass side panel, cm title"
cm03,Elite301White,Left90,https://raw.githubusercontent.com/Kooooojun/AI-Hackathon-IntelligentNexus/refs/heads/main/data/Elite301/Elite301White_Left90.webp,Minimalist,White,Yes,"vertical striped mesh, front mesh panel, RGB fans, Tempered glass side panel, cm title"
